Time_of_Day,Mean_Flow_cfs,Lower_95_CI,Upper_95_CI
0:00:00,0.576893898,0.556999253,0.596736832
0:10:00,0.584222246,0.563045349,0.605059679
0:20:00,0.580955551,0.561525133,0.599798375
0:30:00,0.569222542,0.549908087,0.589795362
0:40:00,0.559892966,0.542249123,0.580769479
0:50:00,0.557512458,0.537696606,0.576941174
1:00:00,0.542587458,0.524121873,0.56152772
1:10:00,0.534693983,0.517863263,0.550354169
1:20:00,0.529780593,0.514341151,0.5455986
1:30:00,0.530948941,0.514784146,0.545123078
1:40:00,0.529211695,0.512866244,0.548393521
1:50:00,0.525019025,0.509294289,0.541218395
2:00:00,0.509699746,0.494153576,0.524830095
2:10:00,0.502632119,0.487984044,0.517225059
2:20:00,0.494137203,0.48103236,0.507446689
2:30:00,0.489684746,0.477260335,0.503220333
2:40:00,0.487427458,0.474714462,0.500776926
2:50:00,0.484005593,0.470610555,0.496902856
3:00:00,0.484872881,0.470873123,0.498137803
3:10:00,0.484822542,0.470684816,0.499224364
3:20:00,0.486963644,0.473407333,0.501118178
3:30:00,0.478819364,0.46523965,0.492446338
3:40:00,0.473142246,0.461041997,0.48553527
3:50:00,0.467335932,0.455083468,0.48066993
4:00:00,0.46572161,0.453918218,0.478324663
4:10:00,0.464650212,0.45373591,0.475165836
4:20:00,0.458120424,0.44686623,0.469401601
4:30:00,0.45753714,0.445144913,0.470510959
4:40:00,0.453607585,0.442914804,0.463979998
4:50:00,0.448450021,0.437028929,0.460394462
5:00:00,0.44726428,0.43679998,0.458470932
5:10:00,0.459770847,0.44745915,0.4736339
5:20:00,0.467529958,0.454345329,0.480752596
5:30:00,0.458787797,0.446640204,0.470845358
5:40:00,0.456862712,0.447121373,0.467896564
5:50:00,0.458127627,0.447213443,0.470414718
6:00:00,0.46210589,0.450350263,0.474089799
6:10:00,0.459532373,0.447771068,0.471656676
6:20:00,0.46561,0.453663435,0.478311953
6:30:00,0.469436102,0.457409521,0.482728924
6:40:00,0.469626737,0.458033528,0.481245407
6:50:00,0.464879788,0.453404375,0.476645298
7:00:00,0.468109364,0.454857194,0.479135862
7:10:00,0.483071102,0.468176419,0.497101055
7:20:00,0.48630911,0.473853412,0.499615971
7:30:00,0.502628729,0.489034766,0.51732207
7:40:00,0.519184407,0.503653763,0.536438913
7:50:00,0.535399153,0.519368146,0.552887896
8:00:00,0.5401425,0.525039735,0.556829004
8:10:00,0.548524153,0.530774689,0.565526996
8:20:00,0.561120678,0.543275263,0.579252606
8:30:00,0.568814068,0.549971035,0.588403628
8:40:00,0.580904237,0.561068708,0.600422307
8:50:00,0.59735,0.576711489,0.619842064
